date,time,booking_id,booking_status,customer_id,vehicle_type,pickup_location,drop_location,avg_vtat,avg_ctat,cancelled_rides_by_customer,reason_for_cancelling_by_customer,cancelled_rides_by_driver,reason_for_cancelling_by_driver,incomplete_rides,incomplete_rides_reason,booking_value,ride_distance,driver_ratings,customer_rating,Payment_Method
2024-02-06,10:03:00,CNR5973559694,Success,173304,eBike,"Area 26","Area 40",9.1441,22.0506,0,,0,,0,,615,19.07,3.7,3.8,Cash
2024-02-20,17:47:00,CNR2603753730,Success,942881,eBike,"Area 36","Area 31",3.61337,19.001,0,,0,,0,,439,2.2,4.8,4,UPI
2024-02-19,14:08:00,CNR2757269910,Success,446831,Mini,"Area 4","Area 33",6.82398,12.3893,0,,0,,0,,350,3.3,4.9,4.7,UPI
2024-02-10,08:58:00,CNR7531805193,"Cancelled By Driver",173180,"Prime SUV","Area 19","Area 44",0,0,0,,1,"The customer was coughing/sick",0,,550,0,0,0,Card
2024-02-07,12:25:00,CNR2475172824,Success,358303,Auto,"Area 12","Area 33",3.41914,12.1069,0,,0,,0,,796,11.1,4.9,3.3,UPI
2024-02-17,09:18:00,CNR2093637870,Success,884407,"Prime Sedan","Area 42","Area 25",5.96334,19.9238,0,,0,,0,,775,20.62,4.6,4.1,Cash
2024-02-27,05:45:00,CNR5325753598,"Cancelled by Customer",496204,eBike,"Area 23","Area 9",0,0,1,"AC is not working",0,,0,,758,0,0,0,Card
2024-02-29,14:35:00,CNR1027346558,Success,982079,"Prime Plus","Area 21","Area 43",14.3282,9.31232,0,,0,,0,,212,5.8,3.5,4.6,Cash
2024-02-02,15:32:00,CNR8152626090,"Driver Not Found",907955,Mini,"Area 48","Area 34",0,0,0,,0,,0,,519,0,0,0,UPI
2024-02-10,23:43:00,CNR3249841863,Success,977248,Bike,"Area 35","Area 39",5.0309,19.6093,0,,0,,0,,312,20.51,4.5,3.6,UPI
2024-02-14,11:33:00,CNR5725760797,Success,946182,Bike,"Area 34","Area 10",8.91124,18.4338,0,,0,,0,,180,23.71,5,3.8,Cash
2024-02-12,11:06:00,CNR9413980698,Success,757296,Bike,"Area 22","Area 14",11.9065,9.4709,0,,0,,1,"Vehicle Breakdown",559,4.97,3.4,3.3,Card
2024-02-08,06:02:00,CNR9365784980,Success,430102,Bike,"Area 8","Area 28",4.515,6.34106,0,,0,,0,,277,18.16,4.1,4.4,UPI
2024-02-06,17:22:00,CNR2582455173,"Cancelled By Driver",446686,"Prime Plus","Area 38","Area 34",0,0,0,,1,"The customer was coughing/sick",0,,198,0,0,0,Cash
2024-02-03,21:58:00,CNR7805824706,Success,418393,"Prime Plus","Area 17","Area 7",9.74314,16.9317,0,,0,,0,,910,13.81,3.6,4.5,Cash
2024-02-16,23:43:00,CNR5440190684,Success,418531,"Prime Plus","Area 22","Area 17",11.4575,22.4137,0,,0,,0,,786,9.86,3.4,4.9,UPI
2024-02-12,02:38:00,CNR2492762303,Success,402946,"Prime SUV","Area 18","Area 25",3.62038,16.2859,0,,0,,0,,831,23.45,3.5,3.6,Card
2024-02-09,12:17:00,CNR5980116294,Success,896192,"Prime Plus","Area 4","Area 40",3.57721,10.1355,0,,0,,0,,356,16.33,3.1,3.9,Cash
2024-02-19,03:52:00,CNR6551195297,"Cancelled by Customer",986396,"Prime Sedan","Area 48","Area 48",0,0,1,"AC is not working",0,,0,,673,0,0,0,UPI
2024-02-16,22:09:00,CNR9951725148,Success,653082,Auto,"Area 23","Area 37",10.722,16.3705,0,,0,,0,,118,2.19,4.9,4,Card
2024-02-28,20:09:00,CNR1580992057,"Driver Not Found",154741,"Prime Plus","Area 16","Area 20",0,0,0,,0,,0,,964,0,0,0,Cash
2024-02-19,05:27:00,CNR6666635914,Success,876908,Mini,"Area 22","Area 20",11.7992,7.04555,0,,0,,0,,715,4.29,4.6,3.3,Card
2024-02-16,19:12:00,CNR4677102099,Success,854680,eBike,"Area 37","Area 49",9.59916,14.8678,0,,0,,0,,233,12.56,3.7,3.9,Cash
2024-02-23,03:05:00,CNR3367345975,"Cancelled By Driver",358011,eBike,"Area 46","Area 30",0,0,0,,1,"Customer related issue",0,,166,0,0,0,Cash
2024-02-08,17:51:00,CNR1867428029,"Driver Not Found",937032,"Prime Plus","Area 6","Area 42",0,0,0,,0,,0,,129,0,0,0,Cash
2024-02-02,08:06:00,CNR2193718295,Success,487547,"Prime Sedan","Area 15","Area 10",11.2127,15.6033,0,,0,,0,,2706,13.13,3.5,3.8,Cash
2024-02-18,23:09:00,CNR5081309945,Success,358993,Auto,"Area 38","Area 26",14.1006,7.18125,0,,0,,0,,175,18.59,3.5,4,UPI
2024-02-23,07:34:00,CNR4787676456,"Cancelled By Driver",681133,"Prime Sedan","Area 49","Area 22",0,0,0,,1,"More than permitted people in there",0,,428,0,0,0,UPI
2024-02-01,10:43:00,CNR1874121938,"Cancelled By Driver",656452,Bike,"Area 5","Area 45",0,0,0,,1,"More than permitted people in there",0,,119,0,0,0,UPI
2024-02-11,07:58:00,CNR8695252323,"Cancelled By Driver",386215,Auto,"Area 29","Area 35",0,0,0,,1,"More than permitted people in there",0,,135,0,0,0,Cash
2024-02-28,14:28:00,CNR9872648869,"Cancelled by Customer",188096,"Prime Plus","Area 24","Area 38",0,0,1,"Change of plans",0,,0,,476,0,0,0,Cash
2024-02-12,06:16:00,CNR8534391034,Success,855786,"Prime Sedan","Area 21","Area 18",10.2004,18.0399,0,,0,,0,,333,13.9,4.9,4.7,Card
2024-02-10,11:50:00,CNR1765047223,Success,265447,Bike,"Area 45","Area 25",4.99764,6.24396,0,,0,,0,,113,21.43,3.5,4.4,Cash
2024-02-14,15:14:00,CNR6530233897,Success,513446,eBike,"Area 29","Area 14",5.13156,23.2752,0,,0,,0,,269,14.97,3.4,3.3,UPI
2024-02-24,18:34:00,CNR9408629171,Success,308586,Bike,"Area 14","Area 39",8.54163,13.9399,0,,0,,0,,178,4.39,3.4,3,Cash
2024-02-04,19:53:00,CNR6359579390,"Cancelled By Driver",453177,"Prime Sedan","Area 24","Area 16",0,0,0,,1,"More than permitted people in there",0,,117,0,0,0,Cash
2024-02-29,04:14:00,CNR7511114045,Success,597027,eBike,"Area 33","Area 31",13.2824,20.8524,0,,0,,0,,2627,11.51,3.5,3,Card
2024-02-01,11:03:00,CNR8347788930,Success,986594,"Prime Plus","Area 35","Area 30",12.7236,6.51925,0,,0,,0,,257,21.23,3.2,5,Card
2024-02-05,03:38:00,CNR6994264517,"Driver Not Found",888600,"Prime Plus","Area 29","Area 8",0,0,0,,0,,0,,229,0,0,0,Cash
2024-02-19,08:40:00,CNR2569413543,"Cancelled by Customer",365415,"Prime Sedan","Area 2","Area 23",0,0,1,"Change of plans",0,,0,,847,0,0,0,UPI
2024-02-18,11:54:00,CNR8282610728,Success,631119,Mini,"Area 6","Area 4",3.10295,12.9103,0,,0,,0,,791,22.84,4.8,4,Cash
2024-02-16,02:43:00,CNR1834587161,Success,970260,"Prime Plus","Area 42","Area 19",10.8773,6.77043,0,,0,,0,,288,21.55,4.9,3.7,Cash
2024-02-10,02:24:00,CNR1825485614,"Cancelled By Driver",919015,"Prime Sedan","Area 19","Area 38",0,0,0,,1,"The customer was coughing/sick",0,,157,0,0,0,UPI
2024-02-15,15:03:00,CNR2262548654,"Cancelled By Driver",839610,"Prime Sedan","Area 14","Area 33",0,0,0,,1,"More than permitted people in there",0,,746,0,0,0,Card
2024-02-26,11:58:00,CNR4721909466,Success,665134,Bike,"Area 18","Area 48",7.70014,22.3411,0,,0,,0,,231,11.54,5,4,UPI
2024-02-02,06:08:00,CNR8148874878,Success,145167,Bike,"Area 43","Area 3",14.4335,16.8121,0,,0,,0,,175,7.02,4.9,3,Cash
2024-02-04,13:05:00,CNR4853057499,Success,675761,Bike,"Area 7","Area 3",11.4178,21.4392,0,,0,,0,,283,18.14,3.9,3.7,UPI
2024-02-01,06:04:00,CNR2195958539,"Cancelled By Driver",170809,eBike,"Area 17","Area 22",0,0,0,,1,"More than permitted people in there",0,,175,0,0,0,UPI
2024-02-27,13:01:00,CNR9994697966,Success,764523,Bike,"Area 29","Area 5",6.56422,18.0405,0,,0,,0,,298,18.56,4.7,3.3,UPI
2024-02-04,01:45:00,CNR2852319947,Success,682534,"Prime Sedan","Area 16","Area 13",3.48487,16.4849,0,,0,,0,,297,15.81,5,3.3,Card
2024-02-13,20:33:00,CNR1493343454,"Driver Not Found",673331,"Prime Sedan","Area 44","Area 1",0,0,0,,0,,0,,434,0,0,0,UPI
2024-02-02,19:38:00,CNR6720725669,Success,905510,Auto,"Area 27","Area 42",5.00881,24.571,0,,0,,0,,544,7.14,3.5,3.4,UPI
2024-02-20,18:57:00,CNR4180819923,Success,110978,"Prime SUV","Area 2","Area 50",14.9088,19.4257,0,,0,,0,,906,8.01,4.6,3.2,UPI
2024-02-08,13:30:00,CNR1594393392,Success,864043,Mini,"Area 42","Area 33",8.62044,22.4652,0,,0,,0,,358,22.67,4.1,3.9,Card
2024-02-03,06:51:00,CNR4488247510,Success,823058,"Prime Plus","Area 49","Area 42",7.92092,8.18727,0,,0,,0,,138,21.88,4.2,3.3,Cash
2024-02-25,18:13:00,CNR2239065042,"Driver Not Found",171888,Mini,"Area 22","Area 36",0,0,0,,0,,0,,133,0,0,0,Cash
2024-02-21,07:56:00,CNR8278250945,"Cancelled By Driver",428410,eBike,"Area 46","Area 36",0,0,0,,1,"The customer was coughing/sick",0,,283,0,0,0,UPI
2024-02-17,13:49:00,CNR2464149331,Success,935832,Mini,"Area 19","Area 4",3.99323,8.70898,0,,0,,0,,461,11.94,3.5,4.7,Card
2024-02-03,23:06:00,CNR6637798593,"Cancelled By Driver",743146,Bike,"Area 3","Area 9",0,0,0,,1,"Customer related issue",0,,231,0,0,0,Card
2024-02-20,21:05:00,CNR2742815058,Success,404366,"Prime Sedan","Area 13","Area 10",3.9579,24.3669,0,,0,,0,,848,18.32,4.2,4.8,Cash
2024-02-28,23:29:00,CNR4876064594,"Cancelled By Driver",314560,"Prime Plus","Area 37","Area 12",0,0,0,,1,"More than permitted people in there",0,,217,0,0,0,Card
2024-02-29,08:27:00,CNR5755060195,"Driver Not Found",560799,eBike,"Area 16","Area 25",0,0,0,,0,,0,,476,0,0,0,UPI
2024-02-03,13:56:00,CNR5385924683,Success,572853,eBike,"Area 4","Area 19",9.45988,6.12504,0,,0,,0,,303,3.18,3.6,4.8,UPI
2024-02-12,16:56:00,CNR6164306467,Success,857813,"Prime SUV","Area 22","Area 30",7.9991,24.0412,0,,0,,0,,991,23.66,3.2,4.3,Cash
2024-02-26,02:08:00,CNR3572427608,"Cancelled By Driver",130940,"Prime Sedan","Area 18","Area 4",0,0,0,,1,"Personal & Car related issues",0,,207,0,0,0,UPI
2024-02-28,21:52:00,CNR4663711077,"Cancelled By Driver",861930,Auto,"Area 40","Area 37",0,0,0,,1,"More than permitted people in there",0,,274,0,0,0,Cash
2024-02-18,08:24:00,CNR6175075072,"Cancelled By Driver",537381,Mini,"Area 48","Area 18",0,0,0,,1,"Customer related issue",0,,579,0,0,0,UPI
2024-02-27,08:14:00,CNR9889368940,Success,939777,Auto,"Area 2","Area 7",7.64847,23.869,0,,0,,0,,148,24.05,3.2,4.3,UPI
2024-02-15,04:26:00,CNR5496788433,Success,690310,"Prime Plus","Area 14","Area 27",9.46775,24.0239,0,,0,,0,,554,19.9,4.3,3.7,UPI
2024-02-27,01:44:00,CNR9151059981,Success,938357,"Prime Sedan","Area 18","Area 41",5.46468,7.10133,0,,0,,0,,324,20.62,3.1,3,UPI
2024-02-20,00:45:00,CNR3656847461,Success,570260,Bike,"Area 2","Area 8",9.09644,23.2852,0,,0,,0,,443,12.14,3.7,3.3,Card
2024-02-28,21:02:00,CNR7057071486,Success,714762,"Prime Sedan","Area 14","Area 7",4.24968,24.7187,0,,0,,0,,414,8.39,3.5,4.4,UPI
2024-02-21,05:40:00,CNR3150221638,Success,205766,Auto,"Area 48","Area 49",8.42381,19.399,0,,0,,0,,435,22.53,4.3,4.5,Cash
2024-02-22,04:38:00,CNR2498206939,Success,916676,"Prime SUV","Area 40","Area 26",7.84855,7.4756,0,,0,,0,,629,18.99,3.2,4.1,Cash
2024-02-20,23:55:00,CNR6392545440,Success,207049,"Prime SUV","Area 48","Area 40",12.0739,5.6391,0,,0,,0,,245,20.05,4.9,4.6,UPI
2024-02-12,19:02:00,CNR2714443381,Success,785070,Mini,"Area 2","Area 25",12.2746,18.1146,0,,0,,0,,368,2.97,4.8,4.2,Cash
2024-02-29,16:11:00,CNR1024684139,Success,911363,"Prime SUV","Area 36","Area 40",4.31665,11.6785,0,,0,,0,,116,3.17,4.3,4.8,Cash
2024-02-07,03:24:00,CNR1931670765,"Driver Not Found",532694,"Prime SUV","Area 18","Area 40",0,0,0,,0,,0,,384,0,0,0,Cash
2024-02-06,14:03:00,CNR7458697144,"Driver Not Found",145285,Mini,"Area 26","Area 18",0,0,0,,0,,0,,995,0,0,0,Card
2024-02-26,16:13:00,CNR2340853405,"Cancelled By Driver",190462,Mini,"Area 25","Area 15",0,0,0,,1,"More than permitted people in there",0,,848,0,0,0,Cash
2024-02-19,13:59:00,CNR4927909703,Success,227793,Mini,"Area 6","Area 41",4.65675,17.6564,0,,0,,0,,626,18.69,3.5,3.3,Cash
2024-02-01,04:33:00,CNR4613905215,Success,134836,eBike,"Area 18","Area 15",5.08467,7.80928,0,,0,,0,,505,7.85,4.3,4.8,Cash
2024-02-15,20:12:00,CNR3396137030,Success,750097,Mini,"Area 34","Area 5",5.62885,7.34889,0,,0,,0,,155,10.57,4,4.8,Card
2024-02-24,03:12:00,CNR3890985196,Success,169285,"Prime Plus","Area 50","Area 24",11.3312,12.1041,0,,0,,0,,160,15.89,3.4,4,Card
2024-02-12,18:13:00,CNR3360048385,Success,164066,"Prime SUV","Area 21","Area 8",6.84068,20.2976,0,,0,,0,,479,5.91,4,4.7,Cash
2024-02-03,06:08:00,CNR1125285727,Success,897617,"Prime Sedan","Area 9","Area 49",11.6217,16.9592,0,,0,,0,,2259,20.9,4.3,4.3,Cash
2024-02-21,07:19:00,CNR4194170845,Success,561354,Bike,"Area 43","Area 42",12.137,23.838,0,,0,,0,,123,23.91,3.2,3.9,Card
2024-02-19,14:10:00,CNR7183415367,"Driver Not Found",159674,"Prime Plus","Area 32","Area 43",0,0,0,,0,,0,,629,0,0,0,UPI
2024-02-09,20:05:00,CNR1378205285,Success,592216,"Prime Sedan","Area 18","Area 24",3.07915,16.8033,0,,0,,0,,445,18.97,3,4.2,Cash
2024-02-19,05:24:00,CNR3835180013,Success,263844,Bike,"Area 6","Area 28",7.5356,11.8436,0,,0,,0,,724,14.87,4.4,4.5,Card
2024-02-15,14:47:00,CNR3149109206,Success,632669,Mini,"Area 39","Area 31",14.071,13.2435,0,,0,,1,"Vehicle Breakdown",269,10.48,3.2,4,UPI
2024-02-26,11:57:00,CNR9499886235,Success,403415,"Prime Plus","Area 14","Area 39",14.0666,11.7196,0,,0,,0,,199,9.11,4.2,4.1,UPI
2024-02-24,15:36:00,CNR2122894988,"Cancelled By Driver",847394,"Prime Plus","Area 45","Area 39",0,0,0,,1,"More than permitted people in there",0,,832,0,0,0,Card
2024-02-16,15:59:00,CNR9790456175,Success,103424,"Prime Sedan","Area 4","Area 44",12.1253,5.60636,0,,0,,0,,159,11.52,4.9,3.4,Cash
2024-02-28,22:55:00,CNR8238778831,Success,993791,Mini,"Area 44","Area 23",4.9939,11.1928,0,,0,,1,"Vehicle Breakdown",286,19.66,4.4,3.8,Card
2024-02-25,12:57:00,CNR6760510167,"Driver Not Found",550945,Mini,"Area 35","Area 8",0,0,0,,0,,0,,386,0,0,0,Card
2024-02-06,00:10:00,CNR2211306986,Success,863065,"Prime SUV","Area 49","Area 1",11.8477,20.9923,0,,0,,0,,685,6.77,3.8,4.9,Card
2024-02-28,13:21:00,CNR1768467002,"Driver Not Found",941412,Auto,"Area 9","Area 15",0,0,0,,0,,0,,643,0,0,0,UPI
2024-02-15,22:59:00,CNR7676805217,Success,641032,eBike,"Area 44","Area 7",6.62416,14.7809,0,,0,,0,,384,13.28,4.8,4,Card
2024-02-04,03:38:00,CNR1696199050,"Cancelled By Driver",970960,Mini,"Area 4","Area 48",0,0,0,,1,"Customer related issue",0,,347,0,0,0,Cash
2024-02-08,22:28:00,CNR5531935048,Success,893116,"Prime Plus","Area 18","Area 36",14.9533,19.2946,0,,0,,0,,744,20.21,4.2,3.7,Card
2024-02-05,13:07:00,CNR6958088019,Success,115719,Mini,"Area 27","Area 4",12.2338,23.1655,0,,0,,0,,491,12.62,4.8,3.7,UPI
2024-02-02,00:22:00,CNR7496041127,Success,945476,"Prime SUV","Area 16","Area 36",8.69099,11.0317,0,,0,,0,,135,22.37,3.7,3.1,Cash
2024-02-26,05:20:00,CNR8300585540,"Driver Not Found",455247,eBike,"Area 26","Area 8",0,0,0,,0,,0,,345,0,0,0,UPI
2024-02-29,16:51:00,CNR7755445590,Success,718931,Auto,"Area 36","Area 37",3.65783,21.4114,0,,0,,0,,773,21.69,3.3,4.1,Cash
2024-02-26,02:46:00,CNR1999782331,Success,992595,"Prime Sedan","Area 25","Area 27",5.9381,24.6327,0,,0,,0,,372,17.03,4,3.8,UPI
2024-02-13,12:29:00,CNR9852298564,"Cancelled By Driver",216240,eBike,"Area 2","Area 22",0,0,0,,1,"The customer was coughing/sick",0,,584,0,0,0,Cash
2024-02-23,10:12:00,CNR1317417877,"Driver Not Found",123079,eBike,"Area 32","Area 13",0,0,0,,0,,0,,932,0,0,0,Cash
2024-02-15,21:14:00,CNR6066473705,Success,384957,Bike,"Area 38","Area 41",8.84479,18.1169,0,,0,,1,"Vehicle Breakdown",3505,20.08,3.6,4.1,Cash
2024-02-23,07:43:00,CNR7352467674,Success,589030,Mini,"Area 42","Area 20",13.8746,12.0169,0,,0,,1,"Vehicle Breakdown",265,4.11,4.7,5,Card
2024-02-06,09:57:00,CNR8074415182,Success,496928,"Prime SUV","Area 24","Area 17",9.52153,16.4479,0,,0,,0,,629,6.19,3.5,4.8,UPI
2024-02-24,19:31:00,CNR7433778058,Success,142753,"Prime SUV","Area 16","Area 11",12.7716,5.06226,0,,0,,0,,448,10.86,5,4.9,UPI
2024-02-07,09:43:00,CNR2350152274,Success,227964,"Prime Plus","Area 38","Area 34",13.9722,8.61732,0,,0,,0,,564,9.89,4.3,3.5,Cash
2024-02-13,00:11:00,CNR4127444804,Success,918495,Auto,"Area 18","Area 21",14.6197,15.0972,0,,0,,0,,276,18.83,3.3,3,Cash
2024-02-16,03:35:00,CNR9916642746,"Driver Not Found",467091,"Prime Plus","Area 5","Area 43",0,0,0,,0,,0,,449,0,0,0,Cash
2024-02-27,15:45:00,CNR1688476809,"Cancelled By Driver",399715,eBike,"Area 12","Area 48",0,0,0,,1,"Customer related issue",0,,137,0,0,0,Cash
2024-02-22,16:32:00,CNR1100487852,"Driver Not Found",179114,Auto,"Area 29","Area 10",0,0,0,,0,,0,,860,0,0,0,UPI
2024-02-11,03:04:00,CNR2745850863,Success,192639,Mini,"Area 21","Area 30",9.99142,12.7366,0,,0,,0,,574,15.7,3.6,4.4,UPI
2024-02-29,08:21:00,CNR2410267636,Success,415644,Mini,"Area 33","Area 18",13.7182,20.5723,0,,0,,0,,272,3.83,4.9,3.4,Card
2024-02-24,06:34:00,CNR8314156693,"Driver Not Found",303148,Mini,"Area 30","Area 22",0,0,0,,0,,0,,401,0,0,0,Card
2024-02-16,11:33:00,CNR4105441902,Success,160708,Auto,"Area 24","Area 34",4.8305,23.097,0,,0,,0,,4833,22.05,3.9,4.4,Cash
2024-02-02,03:20:00,CNR2926925616,Success,944201,"Prime Plus","Area 41","Area 29",5.42864,6.65908,0,,0,,0,,387,16.19,3.6,3.9,Cash
2024-02-25,17:45:00,CNR5306193205,Success,607397,Bike,"Area 19","Area 24",3.63217,9.57357,0,,0,,0,,726,6.25,4.6,3.1,Cash
2024-02-26,20:16:00,CNR6557096044,"Cancelled By Driver",715926,Mini,"Area 16","Area 10",0,0,0,,1,"More than permitted people in there",0,,109,0,0,0,UPI
2024-02-05,14:02:00,CNR8705654851,Success,619154,"Prime SUV","Area 32","Area 20",5.97599,12.8918,0,,0,,0,,491,17.98,3,4.4,Cash
2024-02-09,07:18:00,CNR2254789402,"Cancelled By Driver",628261,Mini,"Area 43","Area 46",0,0,0,,1,"Customer related issue",0,,268,0,0,0,UPI
2024-02-28,15:21:00,CNR2253756169,"Driver Not Found",520632,"Prime Sedan","Area 43","Area 10",0,0,0,,0,,0,,358,0,0,0,UPI
2024-02-11,10:56:00,CNR5685187765,Success,739525,"Prime Plus","Area 24","Area 5",14.9355,14.7895,0,,0,,0,,178,8.26,3.9,4.1,Card
2024-02-09,23:58:00,CNR7151845939,"Cancelled By Driver",937718,Auto,"Area 5","Area 24",0,0,0,,1,"Personal & Car related issues",0,,246,0,0,0,Card
2024-02-05,18:02:00,CNR1230798770,"Cancelled by Customer",167076,Bike,"Area 8","Area 10",0,0,1,"AC is not working",0,,0,,109,0,0,0,Card
2024-02-15,13:26:00,CNR4954605099,"Driver Not Found",519143,"Prime Sedan","Area 29","Area 47",0,0,0,,0,,0,,449,0,0,0,UPI
2024-02-26,01:10:00,CNR2791680068,"Cancelled By Driver",228775,"Prime Sedan","Area 36","Area 50",0,0,0,,1,"More than permitted people in there",0,,357,0,0,0,Card
2024-02-26,01:10:00,CNR9676821145,Success,671478,Bike,"Area 4","Area 37",4.66618,16.057,0,,0,,0,,324,17.77,4.1,4.3,UPI
2024-02-23,08:48:00,CNR6513368918,Success,631381,"Prime Plus","Area 21","Area 8",11.3752,17.8767,0,,0,,0,,439,13.27,3,4.6,Card
2024-02-06,15:00:00,CNR1417926391,Success,101185,Mini,"Area 10","Area 39",12.8602,16.0554,0,,0,,0,,394,22.04,3,3.6,UPI
2024-02-09,06:27:00,CNR7306162440,"Cancelled By Driver",475514,"Prime Plus","Area 41","Area 48",0,0,0,,1,"The customer was coughing/sick",0,,778,0,0,0,Cash
2024-02-23,06:47:00,CNR1695108541,Success,839229,"Prime Sedan","Area 37","Area 24",12.01,6.18129,0,,0,,0,,958,7.56,3.6,5,Card
2024-02-05,00:16:00,CNR5545640033,"Driver Not Found",210694,"Prime Plus","Area 11","Area 42",0,0,0,,0,,0,,876,0,0,0,Cash
2024-02-23,06:03:00,CNR3637801898,Success,326711,Bike,"Area 15","Area 10",11.3892,16.7224,0,,0,,0,,106,7.78,3.9,3,UPI
2024-02-16,09:35:00,CNR6173377768,"Cancelled By Driver",723160,Bike,"Area 20","Area 10",0,0,0,,1,"Personal & Car related issues",0,,377,0,0,0,UPI
2024-02-02,18:34:00,CNR2667081790,Success,239110,"Prime Plus","Area 42","Area 50",13.5096,20.227,0,,0,,0,,391,15.49,4.5,3.4,Cash
2024-02-03,21:54:00,CNR5668181317,"Driver Not Found",533337,eBike,"Area 10","Area 33",0,0,0,,0,,0,,694,0,0,0,UPI
2024-02-19,08:07:00,CNR8324155431,"Driver Not Found",308733,Mini,"Area 30","Area 37",0,0,0,,0,,0,,443,0,0,0,UPI
2024-02-04,21:27:00,CNR3626355189,Success,372901,"Prime SUV","Area 7","Area 24",10.5035,7.09077,0,,0,,0,,377,22.12,3.3,4.9,Card
2024-02-23,13:54:00,CNR8509501235,Success,845119,eBike,"Area 34","Area 21",10.4557,8.04709,0,,0,,0,,964,19.15,3.6,4.9,Card
2024-02-03,21:20:00,CNR2468666399,Success,248630,Auto,"Area 48","Area 7",8.73656,17.2023,0,,0,,0,,501,3.93,3.8,3.3,Card
2024-02-15,19:55:00,CNR8778136066,Success,290053,Mini,"Area 43","Area 8",14.0488,16.0302,0,,0,,0,,131,20.58,4,4.9,Card
2024-02-21,06:01:00,CNR5993923932,Success,860871,"Prime SUV","Area 21","Area 22",10.611,15.1136,0,,0,,0,,903,14.11,3.4,4.4,UPI
2024-02-13,18:57:00,CNR6289851892,Success,466720,"Prime Plus","Area 38","Area 1",13.1187,23.8196,0,,0,,1,"Vehicle Breakdown",232,13.62,4.4,4.8,Cash
2024-02-28,21:37:00,CNR2305640960,Success,108753,Bike,"Area 2","Area 41",6.17398,18.2369,0,,0,,0,,144,21.84,3.7,4.5,UPI
2024-02-20,02:29:00,CNR1194596603,Success,508825,Mini,"Area 41","Area 33",9.12276,13.4574,0,,0,,0,,445,8.51,4.4,3.6,Cash
